Local government area,Council seat,Land area (km2),Population,Pop. density
Melbourne,Melbourne,37,149615,11897
Port Phillip,St Kilda,21,101942,13961
Stonnington,Malvern,26,104703,11576
Yarra,Richmond,20,90114,12758
Banyule,Greensborough,63,126236,5354
Bayside,Sandringham,37,101306,7400
Boroondara,Camberwell,60,167900,7826
Darebin,Preston,54,148570,7751
Glen Eira,Caulfield North,39,148908,10218
Hobsons Bay,Altona,64,91322,3904
Kingston,Cheltenham,91,158129,4651
Manningham,Doncaster,113,124700,2877
Maribyrnong,Footscray,31,85209,7635
Monash,Glen Waverley,82,190397,6319
Moonee Valley,Moonee Ponds,43,121851,7703
Merri-bek,Coburg,51,171357,9229
Whitehorse,Nunawading,64,169346,7130
Brimbank,Sunshine,123,194618,4395
Cardinia,Officer,1283,118194,216
Casey,Narre Warren,409,365239,2156
Frankston,Frankston,130,139281,2826
Greater Dandenong,Dandenong,130,158208,3309
Hume,Broadmeadows,504,243901,1153
Knox,Wantirna South,114,159103,3552
Maroondah,Ringwood,61,115043,4989
Melton,Melton,528,178960,769
Mornington Peninsula,Rosebud,724,168948,593
Nillumbik,Greensborough,432,62895,389
Whittlesea,South Morang,490,229396,1180
Wyndham,Werribee,542,292011,1220
Yarra Ranges,Lilydale,2468,156068,166
