,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,geometry
0,1,19853,Camberwell Railway Station (Camberwell),-37.8265671441721,145.058697177155,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.058697177155 -37.8265671441721)
1,2,19852,Riversdale Railway Station (Camberwell),-37.8315054341774,145.069645982205,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.069645982205 -37.8315054341774)
2,3,19851,Willison Railway Station (Camberwell),-37.835715650541,145.070297555358,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.070297555358 -37.835715650541)
3,4,19850,Hartwell Railway Station (Camberwell),-37.8439845657224,145.075559591232,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.075559591232 -37.8439845657224)
4,5,19849,Burwood Railway Station (Glen Iris),-37.8515632823222,145.080511068965,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.080511068965 -37.8515632823222)
5,6,19848,Ashburton Railway Station (Ashburton),-37.8619675331742,145.081343759057,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.081343759057 -37.8619675331742)
6,7,19847,Alamein Railway Station (Ashburton),-37.8683203919916,145.079655668512,2-ALM-mjp-10,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.079655668512 -37.8683203919916)
7,1,19853,Camberwell Railway Station (Camberwell),-37.8265671441721,145.058697177155,2-ALM-mjp-11,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.058697177155 -37.8265671441721)
8,2,19852,Riversdale Railway Station (Camberwell),-37.8315054341774,145.069645982205,2-ALM-mjp-11,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.069645982205 -37.8315054341774)
9,3,19851,Willison Railway Station (Camberwell),-37.835715650541,145.070297555358,2-ALM-mjp-11,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.070297555358 -37.835715650541)
10,4,19850,Hartwell Railway Station (Camberwell),-37.8439845657224,145.075559591232,2-ALM-mjp-11,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.075559591232 -37.8439845657224)
11,5,19849,Burwood Railway Station (Glen Iris),-37.8515632823222,145.080511068965,2-ALM-mjp-11,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.080511068965 -37.8515632823222)
12,6,19848,Ashburton Railway Station (Ashburton),-37.8619675331742,145.081343759057,2-ALM-mjp-11,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF,POINT (145.081343759057 -37.8619675331742)
